case_number,category,description,location_address,latitude,longitude,incident_date,province,city,hour,day_of_week,time_period
CR-2025-000001,THEFT,My construction site in Cavalry Ground Lahore was raided during the night and building materials worth Rs. 320000 were stolen. The thieves took cement bags and electrical wiring and loaded everything quickly onto a loading rickshaw Qingqi. The site had no guard that night as the regular guard was absent. By the time the morning workers arrived everything valuable was gone. Other plots in the area have also been targeted suggesting an organized gang is operating here.,"410-D, Main Road, Cavalry Ground, close to the school, Lahore",31.537785,74.318619,2025-04-23 23:29:33+00:00,Punjab,Lahore,23,2,evening
CR-2025-000002,ROBBERY,I was robbed at gunpoint early morning around 6 AM outside my packaging factory gate in Gulberg II Lahore. I had just arrived with Rs. 225000 cash for weekly wages when a white Suzuki Mehran pulled up behind my car. Three masked men jumped out one pointing a pistol at me. They demanded the cash bag which I was forced to hand over immediately. They also took my mobile phone and gold chain. The whole incident lasted less than 3 minutes and they sped away towards the main road. They seemed to know exactly when and how much cash I would be carrying suggesting inside information.,"Plot 86, Block H, Gulberg II, near railway crossing, Lahore",31.514884,74.219026,2025-10-29 13:22:39+00:00,Punjab,Lahore,13,2,afternoon
CR-2025-000003,THEFT,I am reporting theft of my bicycle imported racing bike from Johar Town Phase 2 Lahore. The vehicle was parked outside my workplace around noon when it was stolen. The registration is LEA-2864 and the vehicle is worth Rs. 190000. I had locked it properly but the lock was broken. The security guard said he did not notice anything suspicious. I suspect a gang is operating in this area as several vehicles have been stolen recently.,"Plot 199, Block A, Johar Town Phase 2, close to the market, Lahore",31.439933,74.220778,2025-09-26 20:08:18+00:00,Punjab,Lahore,20,4,evening
CR-2025-000004,FRAUD,I lost Rs. 205000 to an online scammer on OLX Pakistan. They were advertising an iPhone 15 Pro Max at an attractive price. After negotiating on WhatsApp I was convinced to pay in advance via Easypaisa. They promised delivery through courier within 3 days. The tracking number provided was fake and the product never arrived. The seller has disappeared and all contact numbers are unreachable. I have saved all chat history and payment receipts from my residence in Peoples Colony No. 1 Faisalabad. This was clearly a planned fraud.,"House 356, Street 6, Block D, Peoples Colony No. 1, Faisalabad",31.403746,73.062984,2025-10-04 14:44:25+00:00,Punjab,Faisalabad,14,5,afternoon
CR-2025-000005,FRAUD,I received a phone call around 9:30 AM from someone claiming to be from NBP bank security department. The caller spoke very professionally and said there was suspicious activity on my account that required immediate verification. Being frightened I gave them my account number and the OTP that came on my phone. Within 10 minutes Rs. 395000 was transferred out of my account in multiple transactions. When I called the real NBP helpline they confirmed it was a scam. I am a pensioner from Samanabad Faisalabad and this was my pension savings. I have call records and transaction details as evidence.,"Plot 326, Block K, Samanabad, close to the market, Faisalabad",31.409207,73.071476,2025-10-24 16:34:10+00:00,Punjab,Faisalabad,16,4,afternoon
CR-2025-000006,ASSAULT,I was brutally assaulted around 7 PM near Fortress Stadium Lahore following a minor traffic incident. My car accidentally brushed against a black Fortuner while changing lanes. The SUV stopped abruptly in front of me blocking my path. Three well-dressed men jumped out and without any discussion started beating me. They punched and kicked me repeatedly while I was on the ground. One hit my head with an iron rod. Several people watched but nobody intervened because the attackers seemed powerful and connected. I was taken to hospital with fractured nose. I noted the number plate as evidence. This unprovoked attack has left me traumatized.,"Shop 31, Fortress Stadium Commercial Area, near the main mosque, Lahore",31.448044,74.353578,2025-11-15 21:36:03+00:00,Punjab,Lahore,21,5,evening
CR-2025-000007,ASSAULT,I am reporting a targeted assault on me by unknown assailants near my home in Gulberg V Lahore. pre-dawn around 4 AM while I was returning home three men on a grey Suzuki Cultus stopped me and started beating me without warning. They used rods and chains. The attack lasted 2-3 minutes and they fled. I sustained severe cuts and was hospitalized. I believe this is connected to a property dispute I am involved in though I cannot be certain of who ordered the attack. I have CCTV footage from my house showing them waiting for me before the assault.,"House 239-C, Street 30, Gulberg V, near railway crossing, Lahore",31.48681,74.323046,2025-05-30 06:42:36+00:00,Punjab,Lahore,6,4,morning
CR-2025-000008,OTHER,Unknown persons vandalized my shop in City Center Faisalabad during the night. They spray-painted threatening messages in Urdu on my property and broke windows causing damage worth approximately Rs. 185000. I believe this is the work of a competitor who had verbally threatened me last week after I refused to close my business. The area guard claims he was not present when this happened which seems suspicious. I have reported the earlier verbal threat to police but no action was taken. I fear for my safety and my family's well-being.,"Flat 705, City Heights, City Center, Faisalabad",31.386523,73.108267,2026-01-08 16:40:50+00:00,Punjab,Faisalabad,16,3,afternoon
CR-2025-000009,DOMESTIC_VIOLENCE,I am reporting domestic violence by my husband at our home in D-Ground Faisalabad. For the past year he has been physically abusing me regularly. Last night around 10 PM he came home in a bad mood and beat me severely causing bruises on arms and face. My children witnessed the violence and are traumatized. He has threatened to kill me if I report to anyone. I have photos of my injuries and previous hospital records. I am currently hiding at my parents house and am afraid to return.,"House 362, Street 16, Block C, D-Ground, Faisalabad",31.474033,73.125374,2025-06-21 09:39:29+00:00,Punjab,Faisalabad,9,5,morning
CR-2025-000010,ROBBERY,At evening around 5:30 PM near MM Alam Road Lahore I was robbed by a man who had been watching me at the Meezan Bank ATM. I had withdrawn Rs. 130000 for household expenses. The suspect followed me on foot and blocked my path near a dark corner. He threatened me with a concealed weapon and demanded my money. He was a tall man around 6 feet speaking in threatening tone. He took all my cash my phone and my gold ring. He ran into the nearby residential area after the robbery. The ATM camera should have recorded his face.,"House 346, Street 27, Block F, MM Alam Road, Lahore",31.518514,74.354445,2025-09-19 21:25:01+00:00,Punjab,Lahore,21,4,evening
